id,object,expected,base_pred,abl_pred,base_ok,abl_ok,is_keys
0,the gift,James,James,James,1,1,0
1,the keys,Dan,the,the,0,0,1
2,the ball,John,John,John,1,1,0
3,the ball,Kevin,Kevin,Kevin,1,1,0
4,a drink,Robert,Robert,Robert,1,1,0
5,the gift,Emily,Emily,Emily,1,1,0
6,the keys,Lily,the,the,0,0,1
7,a card,James,James,James,1,1,0
8,the keys,Mary,the,the,0,0,1
9,a card,David,David,David,1,1,0
10,the ball,Tom,Tom,Tom,1,1,0
11,the keys,Ben,the,the,0,0,1
12,a book,Robert,Robert,Robert,1,1,0
13,the keys,Chris,the,the,0,0,1
14,a book,Henry,Henry,Henry,1,1,0
15,a card,Anna,Anna,Anna,1,1,0
16,a card,Rachel,Rachel,Rachel,1,1,0
17,a card,Tom,Tom,Tom,1,1,0
18,the flowers,Sarah,Sarah,Sarah,1,1,0
19,the gift,Dan,her,her,0,0,0
20,a card,Laura,Laura,Laura,1,1,0
21,the keys,Jessica,Jessica's,Jessica's,0,0,1
22,a book,James,James,James,1,1,0
23,the bag,Tom,Tom,Tom,1,1,0
24,the keys,Anna,the,the,0,0,1
25,the keys,Karen,Karen,Karen's,1,0,1
26,a drink,Mike,Mike,Mike,1,1,0
27,the keys,Lily,the,the,0,0,1
28,a book,Karen,Karen,Karen,1,1,0
29,a card,Mike,Mike,Mike,1,1,0
30,the gift,James,James,James,1,1,0
31,the keys,Susan,the,the,0,0,1
32,a book,Tom,Tom,Tom,1,1,0
33,the bag,Mike,Mike,Mike,1,1,0
34,the gift,Lily,Lily,Lily,1,1,0
35,the flowers,Karen,Karen,Karen,1,1,0
36,the keys,Susan,Susan's,Susan's,0,0,1
37,the ball,Laura,Laura,Laura,1,1,0
38,the ball,Lucy,Lucy,Lucy,1,1,0
39,the keys,Mary,the,the,0,0,1
40,the ball,Steve,Steve,Steve,1,1,0
41,the ball,Helen,Helen,Helen,1,1,0
42,the keys,Emily,the,the,0,0,1
43,the bag,Emily,Emily,Emily,1,1,0
44,the keys,Ben,the,the,0,0,1
45,the keys,Henry,the,the,0,0,1
46,a book,David,his,his,0,0,0
47,the ball,Anna,Anna,Anna,1,1,0
48,a drink,Jack,Jack,Jack,1,1,0
49,a book,Lily,Lily,Lily,1,1,0
50,a drink,Chris,Chris,Chris,1,1,0
51,the gift,John,John,John,1,1,0
52,a book,Emily,Emily,Emily,1,1,0
53,a drink,Chris,Chris,Chris,1,1,0
54,a book,Laura,Laura,Laura,1,1,0
55,the keys,Tom,the,the,0,0,1
56,the bag,Ben,Ben,Ben,1,1,0
57,a drink,Laura,Laura,Laura,1,1,0
58,the gift,Steve,Steve,Steve,1,1,0
59,the ball,Lucy,Lucy,Lucy,1,1,0
60,the flowers,Dan,Dan,Dan,1,1,0
61,the flowers,Tom,Tom,Tom,1,1,0
62,the gift,David,his,his,0,0,0
63,the ball,Helen,Helen,Helen,1,1,0
64,the gift,Mike,Mike,Mike,1,1,0
65,the keys,Rachel,Rachel's,Rachel's,0,0,1
66,a book,James,James,James,1,1,0
67,a card,Kevin,Kevin,Kevin,1,1,0
68,the flowers,Karen,Karen,Karen,1,1,0
69,the keys,Ben,the,the,0,0,1
70,a drink,Anna,Anna,Anna,1,1,0
71,a book,Dan,Dan,Dan,1,1,0
72,a drink,Lucy,Lucy,Lucy,1,1,0
73,a drink,Helen,Helen,Helen,1,1,0
74,the bag,David,David,David,1,1,0
75,a drink,Paul,Paul,Paul,1,1,0
76,the keys,Steve,the,the,0,0,1
77,a book,David,David,David,1,1,0
78,the bag,Mike,Mike,Mike,1,1,0
79,the bag,Henry,Henry,Henry,1,1,0
80,the bag,Mike,Mike,Mike,1,1,0
81,the ball,Sarah,Sarah,Sarah,1,1,0
82,the ball,Paul,Paul,Paul,1,1,0
83,a card,Chris,Chris,Chris,1,1,0
84,a card,Tom,Tom,Tom,1,1,0
85,a drink,Rachel,Rachel,Rachel,1,1,0
86,the gift,Anna,Anna,Anna,1,1,0
87,a card,Kevin,Kevin,Kevin,1,1,0
88,the bag,Kevin,Kevin,Kevin,1,1,0
89,a drink,Mary,Mary,Mary,1,1,0
90,a card,Emily,Emily,Emily,1,1,0
